country,iso3c,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bosnia and Herzegovina,BIH,26700,24700,8860,5040,5400,4920,6810,9330,13100,13100,14300,14800,15600,15500,16500,16800,17900,17800,19700,19800,20200,22200,20500,20200,22500,20900,21800,22200,23187.86613,23815.15621,24423.64959,25012.78202
Botswana,BWA,2770,2690,2880,3300,3160,3200,2850,2950,3490,3340,3920,4030,4180,4050,4090,4280,4310,4390,4650,3990,4760,4230,4260,5290,7090,7250,7400,7860,8416.981707,8978.897337,9594.007649,10284.51494
Brazil,BRA,225000,238000,239000,250000,261000,279000,300000,319000,330000,340000,358000,362000,361000,363000,377000,384000,387000,406000,426000,404000,452000,473000,504000,536000,556000,536000,504000,510000,533621.915,547637.4688,567739.1977,590469.7296
British Virgin Islands,VGB,66.3,66.3,70,73.7,81,84.7,95.7,99.4,103,103,103,107,114,121,125,133,143,151,162,165,173,177,177,177,183,186,192,191,191,191,191,191
Brunei,BRN,6210,5330,5230,4990,4710,4800,4890,5080,5290,3930,4730,4530,4400,4620,5020,5030,4890,8440,9140,7890,8230,9720,9700,7830,9140,9320,10500,10800,9662.046154,10171.64646,10920.64535,11509.39065
Bulgaria,BGR,76700,61400,57400,58900,56900,58100,58900,56500,53800,47300,46100,49600,46700,51100,49900,51000,52000,56200,54000,45800,48000,53300,48600,42600,45100,48100,45300,47400,45980.84064,46220.0139,46166.1791,46059.18133
Burkina Faso,BFA,643,690,695,693,714,694,777,881,936,995,1110,1070,1080,1160,1190,1210,1450,1740,1960,1970,2000,2240,2650,3100,2910,2810,3020,3170,3710.339294,3997.394617,4304.50769,4636.450051
Burundi,BDI,298,329,309,325,330,335,343,351,352,357,377,313,319,272,312,272,309,317,325,324,350,374,412,421,578,612,609,639,696.6248854,748.4956776,804.740638,865.1817349
Cambodia,KHM,1320,1370,1410,1450,1500,1570,1630,1560,1970,1990,2070,2340,2290,2460,2530,2860,3080,3500,3860,4590,4980,5150,5390,5530,6580,6890,7780,8010,8753.621895,9482.529673,10243.0084,11051.94379
Cameroon,CMR,4300,3680,6370,6760,12100,12500,12300,10900,10900,10800,10900,10600,10000,10200,10600,10500,10800,12700,12700,13900,13100,11700,12000,12800,13000,13800,14300,14200,14934.61007,15509.68652,16114.77909,16722.1186
Canada,CAN,467000,457000,471000,470000,486000,498000,514000,528000,537000,553000,575000,568000,574000,591000,590000,580000,575000,599000,580000,547000,561000,570000,574000,581000,581000,581000,568000,575000,581697.173,580892.4784,582590.6205,584531.7155
Cape Verde,CPV,98.7,102,110,114,117,125,147,151,162,188,221,239,280,313,335,445,478,511,475,530,563,622,512,504,492,704,754,794,755.2062023,787.2789535,825.1653945,863.781521
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,318,328,342,352,366,366,366,376,379,390,392,373,372,362,378,394,404,424,430,429,450,468,483,490,488,547,561,564,602.0250179,629.8938625,658.7678201,689.8428092
Chad,TCD,172,96,115,123,140,150,168,181,191,203,217,218,231,573,600,630,649,749,710,670,684,766,764,932,971,1040,1080,1090,1194.676722,1268.100859,1352.973428,1442.262291
Chile,CHL,33700,32200,33500,35800,38800,41500,47200,54100,54600,58300,55300,50200,52100,53000,57100,58800,61900,68500,69400,64700,70000,76900,78800,81000,83200,85500,87900,86800,98572.16123,108155.1421,118583.0568,123714.364
China,CHN,2520000,2650000,2770000,2940000,3160000,3410000,3550000,3590000,3420000,3430000,3560000,3640000,4010000,4720000,5430000,6090000,6730000,7230000,7750000,8160000,8930000,9820000,10100000,10200000,10300000,10200000,10200000,10400000,10950298.99,12002028.29,13296656.5,14712562.39
Colombia,COL,47000,49600,53300,54900,55300,57000,57200,61700,61200,55400,57800,55400,54700,56500,57600,60900,68500,68100,65800,71600,70100,67300,71500,79900,81300,81900,88100,84400,86091.26129,88524.96807,90828.72193,93441.75396
Congo,COG,1190,1010,1280,1330,2160,1570,1730,2360,802,851,1060,800,616,963,1000,990,1130,1220,1320,1750,1990,2270,2970,3080,2980,2790,2970,2980,3112.778887,3407.96089,3644.652336,3841.135408
Costa Rica,CRI,2840,3240,3680,3860,5150,4790,4720,4930,5200,5330,5280,5450,5910,6160,6350,6130,6500,7220,7270,7090,6960,7110,7100,6930,7070,8470,8810,8750,8664.013423,8787.670009,8949.524689,9134.709388
Croatia,HRV,23900,17800,16900,17400,16700,17300,18000,19000,19700,20500,20100,21200,22500,23900,23800,24400,24800,26200,24900,22500,21800,21300,19700,19400,18700,18900,19200,19800,20452.92367,21029.94864,21489.08822,21945.88748
Cuba,CUB,35700,31900,33500,31300,34000,27700,28900,26600,26400,27100,27900,26400,26200,25600,25100,26100,27500,26900,30300,29700,37600,35300,35500,34200,34200,34800,35700,35600,35600,35600,35600,35600
Cyprus,CYP,4810,5300,5640,5880,6130,6000,6350,6440,6730,7000,7260,7120,7320,7700,7960,8120,8300,8610,8780,8580,8220,7930,7400,6690,7070,7100,7510,7690,8055.357149,8213.872753,8381.296347,8539.019488
Czech Republic,CZE,165000,150000,145000,139000,133000,132000,136000,131000,126000,117000,128000,128000,125000,128000,129000,126000,127000,129000,124000,116000,118000,116000,111000,107000,105000,105000,107000,106000,105538.0487,104295.8053,103755.2832,103287.1715
Cote dIvoire,CIV,5150,4690,4230,5480,4840,6890,8220,7990,7300,6620,7170,8180,8050,5840,7970,8150,7360,7210,7240,6170,7490,7900,10000,11300,11600,11800,12600,13300,14889.08912,16092.38087,17373.97923,18729.68637
North Korea,PRK,183000,178000,156000,146000,135000,120000,99800,88100,72000,71400,69200,74300,74200,75800,77400,80600,82000,68900,75600,74000,69700,50800,51800,38400,42900,44500,49800,51100,51100,51100,51100,51100
DR Congo,COD,4210,3120,2990,2770,2900,3330,3690,3330,2970,2490,1840,1930,2020,2290,2270,2520,2590,2860,2920,2690,2940,3380,3290,4490,5570,3970,3970,3960,4922.649316,5148.624929,5367.951483,5571.902522
Denmark,DNK,54900,65500,59700,61800,65800,62700,76100,66700,62500,59900,55700,57400,56900,62100,56500,53000,60900,56100,52700,50200,50700,45700,41300,43100,38900,36500,38400,36300,33044.43083,31878.41746,30107.48685,28259.43037
Djibouti,DJI,324,313,313,313,305,305,313,328,317,317,342,368,401,424,410,417,413,465,501,465,519,475,590,596,686,720,712,749,796.8384072,839.4310392,880.6306313,926.5710039
Dominican Republic,DOM,8920,10500,12100,13700,15200,17800,17700,16900,16200,16600,18100,17500,18100,17700,14500,14200,14400,14700,13900,13000,12800,12900,13400,13100,13200,13500,13800,13800,14033.01214,14294.25784,14683.95047,15097.75306
Ecuador,ECU,16900,16600,22400,24300,13700,22900,24200,18500,22600,21600,20800,23200,25100,27100,29100,30200,28900,31900,33700,35900,36300,38400,37900,40700,43700,42200,39900,38800,42864.81962,42663.53403,42895.79857,43586.29533
Egypt,EGY,85500,85200,84700,94200,84200,92200,96300,99400,110000,112000,123000,116000,121000,143000,150000,169000,181000,190000,199000,206000,206000,222000,219000,215000,205000,210000,219000,221000,212204.8502,218139.0709,224875.5119,231958.704
El Salvador,SLV,2720,3400,3560,3990,4790,5170,4740,5750,6000,5890,5900,6110,6140,6590,6490,6600,7020,7150,6760,6680,6730,6960,7060,6560,6650,8270,8610,8570,8746.416703,9042.406232,9340.113432,9643.019614
Eritrea,ERI,866,800,804,872,871,941,1020,872,599,629,618,640,615,736,781,778,572,590,425,524,525,588,646,656,681,670,662,699,669.3765989,697.2784522,734.1684155,779.5052786
Estonia,EST,38000,34900,25100,19500,20700,19000,19700,19200,17600,16200,16000,16400,15900,17800,18100,18000,16900,21100,18900,15500,19400,20100,18900,20600,19900,16900,18500,19700,18808.7745,18773.53389,18671.5641,18622.74203
Ethiopia,ETH,2500,2060,2200,2520,2460,2350,2620,3020,3150,3330,3600,4470,4640,5120,5480,6820,6600,9310,8590,9290,11400,9910,10100,11600,12800,13800,13900,14600,15803.01651,16659.26061,17545.14748,18474.35583
Fiji,FJI,813,673,747,750,749,765,824,797,768,785,839,1060,891,1050,1350,1090,1210,1160,900,794,1220,1080,1050,1150,1290,1350,1530,1580,1784.415126,1857.05664,1943.421194,2040.568138
Finland,FIN,57600,55800,54900,57000,62500,59400,64800,63400,60100,59600,57700,63200,65800,73300,69600,57700,69000,67400,59200,56500,64700,57100,51700,52300,48200,44600,47700,45200,49545.57938,53661.38515,55687.60517,58051.50784
France,FRA,406000,431000,421000,401000,395000,404000,418000,411000,430000,426000,421000,427000,423000,428000,429000,433000,422000,412000,406000,388000,396000,372000,373000,374000,343000,349000,351000,354000,341801.255,335373.5326,329703.6722,324548.4023
French Polynesia,PYF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,4510,4550,4940,5000,4400,4630,4780,4800,4980,4810,4700,4800,4570,4630,4680,4880,4170,4110,4170,4240,4810,4960,5110,5290,5100,4810,4820,4710,4964.595064,4926.854114,4899.306272,4874.21038
Gambia,GMB,182,186,186,194,194,205,205,206,221,239,254,261,298,299,306,307,318,362,377,388,439,457,461,440,520,561,601,633,667.4715975,712.2372881,758.410703,807.3676581
Georgia,GEO,35300,28100,17300,9960,6370,4320,7120,7820,6450,5200,3910,4080,3880,4130,5040,5240,6430,7360,7250,6750,6820,9340,9970,9400,10700,9170,9570,9750,11541.67108,12347.1564,13208.45715,14456.23031
Germany,DEU,1060000,1020000,977000,967000,950000,950000,970000,942000,934000,907000,911000,926000,909000,910000,895000,875000,887000,860000,862000,796000,842000,819000,823000,839000,800000,804000,809000,805000,805572.482,796417.0986,789789.451,783653.519
Ghana,GHA,2950,2470,2990,3220,3340,3660,3950,4080,4470,5040,6410,5700,6100,6540,5970,6580,8050,7790,7240,6120,8290,8720,9910,12000,11900,11800,12600,13300,13755.92282,14621.16807,15327.14526,15754.86247
Greece,GRC,83600,83500,85100,84500,86600,87100,89200,93900,98700,98000,103000,105000,105000,109000,110000,114000,113000,115000,111000,104000,97400,94600,91500,81800,78700,75000,71400,74900,71175.08042,70209.58201,69430.75147,68345.47324
Greenland,GRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,4500,5630,7560,7930,10500,10300,8920,9710,10600,10400,10900,11400,11800,11200,12000,12800,12900,12800,11700,12000,12000,12200,12400,13900,18500,16400,17000,16900,17840.52053,18628.26874,19526.94969,20533.35163
Guinea,GIN,1040,1060,1090,1120,1290,1330,1400,1460,1540,1620,1680,1760,1850,1930,1990,1870,1940,2020,2240,2310,2650,2830,2630,2350,2500,3220,3440,3620,3793.018594,4009.52531,4239.82594,4483.925428
Guyana,GUY,1440,1450,1440,1440,1440,1470,1540,1690,1780,1730,1690,2100,1660,1670,1670,1470,1320,1600,1590,1600,1760,1820,2030,1980,2050,2040,2150,2170,2322.665685,2429.48007,5334.558211,5590.624538
Haiti,HTI,1000,1000,919,679,372,980,1120,1460,1330,1430,1470,1580,1830,1740,1990,2080,2110,2390,2390,2270,2120,2210,2310,2400,2850,2910,2990,2980,3383.820686,3636.511363,3900.117533,4175.931814
Honduras,HND,2580,2690,3070,2840,3330,3890,3990,4190,4680,4770,5040,5720,6070,6770,7360,7560,6960,8700,8560,7760,7870,8840,8850,8940,9350,10200,10600,10500,11024.33443,11398.32543,11820.23924,12285.31092
Hong Kong,HKG,28400,29800,34200,36100,32600,32700,30300,31900,40400,44100,41800,39500,41200,44900,43300,45500,43600,45100,45300,43500,42000,45100,44800,46400,45500,45900,47000,50000,47813.51227,48150.98297,48539.40822,48854.58398
Hungary,HUN,74200,70400,63300,64300,62700,62200,63700,62200,61800,62200,59000,60500,59500,62200,60700,60800,60200,58900,57800,52100,52400,50600,47100,44000,44200,46900,47700,49900,48097.97874,49210.1296,49572.26771,49726.49355
Iceland,ISL,2240,2120,2270,2430,2370,2470,2520,2620,2640,2850,2940,2870,2990,2980,3100,2970,3150,3500,3800,3730,3620,3490,3490,3480,3460,3540,3490,3620,4115.950387,4469.16111,4712.169264,4900.028269
India,IND,669000,709000,755000,779000,828000,874000,937000,968000,979000,1040000,1070000,1060000,1060000,1100000,1160000,1210000,1280000,1350000,1490000,1640000,1620000,1730000,1880000,1900000,2090000,2150000,2230000,2300000,2387496.174,2446872.964,2501864.589,2550783.687
Indonesia,IDN,208000,230000,247000,264000,274000,289000,306000,321000,339000,340000,339000,369000,370000,399000,404000,400000,406000,421000,410000,425000,470000,522000,559000,515000,558000,564000,571000,595000,578561.4298,579229.8696,580073.7414,580775.929
Iran,IRN,213000,230000,232000,240000,268000,276000,281000,275000,313000,387000,378000,404000,407000,424000,453000,476000,517000,530000,552000,566000,584000,600000,622000,631000,663000,660000,669000,698000,723388.0629,733669.0138,752426.6529,772319.1835
Iraq,IRQ,47900,45600,59700,65000,72300,75200,70500,69300,73300,72900,72900,85900,88500,91500,114000,114000,99000,62200,92900,104000,112000,134000,152000,164000,167000,169000,190000,194000,182393.1301,188038.0191,196179.0222,202856.9061
Ireland,IRL,33000,33700,33500,33900,34900,35900,37500,38800,40700,42500,45300,47700,46100,45700,46900,48900,48800,48400,48100,43000,43000,38800,39000,38000,37500,39300,40800,39700,43126.0743,43549.39434,43638.13338,43350.42989
Israel,ISR,36700,37000,42900,45100,48300,50800,53000,55800,57800,56600,61900,65300,61500,65000,65100,65400,66500,69200,68800,65900,67600,69500,74700,68300,66400,68200,67700,68500,67817.39218,67341.35585,66779.79749,66055.74537
Italy,ITA,445000,444000,442000,436000,430000,456000,449000,453000,464000,469000,474000,480000,482000,495000,499000,499000,494000,484000,472000,421000,430000,418000,396000,368000,353000,360000,357000,353000,361320.4863,352930.6633,348972.7443,347045.8058
Jamaica,JAM,7560,7780,7740,8030,8230,9210,9720,10100,9730,10000,10400,10600,10300,10700,10600,10400,11500,9670,10200,7800,7300,7840,7470,8080,7460,7610,7800,7720,7090.885665,6977.558647,6888.574975,6882.239754
Japan,JPN,1160000,1170000,1180000,1170000,1230000,1240000,1250000,1250000,1210000,1240000,1270000,1250000,1280000,1290000,1280000,1290000,1270000,1300000,1230000,1160000,1220000,1270000,1310000,1320000,1270000,1230000,1210000,1190000,1219029.766,1207809.225,1188647.399,1167839.503
Jordan,JOR,10400,9820,12200,12000,13500,13600,14300,14800,15000,15200,16400,17100,18200,18900,20900,23000,23200,24300,23500,24100,23300,23800,26800,26800,29000,22800,22500,22400,25020.49247,25656.20352,26460.16871,27438.85865
Kazakhstan,KAZ,268000,258000,234000,206000,171000,163000,150000,141000,136000,109000,134000,128000,147000,164000,171000,184000,207000,214000,214000,209000,237000,227000,234000,241000,257000,264000,268000,284000,282033.0674,290320.1347,299165.6116,307840.387
Kenya,KEN,5780,4880,5520,6250,6410,7330,8660,7360,8540,8380,8280,8080,7400,6720,8060,9730,11000,11400,12000,14500,14400,15900,14800,15800,17200,18100,18100,19000,20506.57886,21481.70724,22738.57803,23978.81315
Kuwait,KWT,52400,489000,22300,34800,40600,56700,51900,56800,53800,56000,55700,59900,60600,62400,66000,74400,76800,78500,86100,90900,93200,95100,106000,103000,93200,101000,102000,101000,108240.9145,110387.7523,113427.5478,116341.3679
Kyrgyzstan,KGZ,20800,17900,14800,11900,8830,5720,5910,6720,5700,5230,5140,4880,5100,5260,5480,5550,5690,6670,7530,7110,6570,7730,10200,9830,9590,9540,9540,9350,10181.71922,10401.92316,10597.68272,10846.64933
Laos,LAO,228,247,269,269,288,362,485,618,695,935,948,883,1140,1090,1390,1400,1530,885,920,1160,1520,1490,1530,1420,1690,1770,1880,1910,1914.053103,2048.698951,2187.386056,2341.161657
Latvia,LVA,19900,18100,14400,12100,10600,9390,9470,8940,8570,7990,7360,7760,7790,8010,8020,8080,8640,8990,8600,7810,8920,8180,7930,7780,7600,7700,7660,7670,7803.251586,7711.667737,7616.87114,7529.243053
Lebanon,LBN,9330,9450,11400,12700,13200,14800,15100,16100,17500,16800,15500,16500,16400,18700,17400,16900,15000,14000,17700,21400,20400,20700,22400,23100,24700,18200,17800,17700,17917.11289,16911.31294,16175.15554,16051.16103
Lesotho,LSO,1480,1540,1600,1640,1680,1720,1750,1780,1810,1840,1860,1890,1910,1940,1990,2020,2050,2080,2140,2230,2290,2340,2410,2440,2480,2540,2600,2770,2780.767238,2846.421474,2928.392156,3024.479772
Liberia,LBR,481,303,293,326,326,338,349,362,389,408,432,503,501,537,623,730,751,670,573,528,803,901,1030,957,915,1120,1160,1220,1183.690187,1228.747311,1273.08626,1317.764137
Libya,LBY,38000,44100,38600,40300,45700,48000,46100,47100,47600,46800,49300,50200,50000,51300,52600,54400,55300,52000,57800,60000,64000,41400,54700,58600,59300,53400,51900,54700,53679.59767,53410.11588,53446.23799,53482.76062
Liechtenstein,LIE,215,221,221,228,215,217,218,230,241,238,229,227,232,241,242,243,244,214,232,218,204,190,198,206,175,172,162,169,169,169,169,169
Lithuania,LTU,36100,38200,21500,16600,16000,15300,16000,15400,16200,13700,12100,12800,12900,12900,13500,14400,14800,16100,15500,13300,14200,14500,14600,13600,13300,13600,13600,13800,13116.56729,12719.39104,12215.97606,11648.24472
Luxembourg,LUX,11900,12500,12300,12400,11600,9210,9260,8620,7740,8190,8770,9270,10000,10500,11900,12200,12000,11400,11200,10700,11300,11200,10900,10300,9870,9380,9120,9290,8291.206202,7966.66364,7780.860386,7472.848892
Macao SAR,MAC,1050,1110,1100,1200,1290,1240,1420,1500,1570,1520,1640,1690,1520,1540,1720,1840,1630,1540,1340,2080,1410,1460,1320,1190,1290,1350,1540,1580,1511.943953,1552.830641,1591.909395,1621.191649
Madagascar,MDG,891,970,944,969,1200,1200,1300,1580,1670,1850,1810,1750,1350,1780,1970,1990,2070,2170,2320,2150,2130,2530,2920,3330,3300,3440,3400,3600,4128.646452,4448.159336,4788.247424,5143.648465
Malawi,MWI,772,830,830,923,933,945,946,992,969,967,899,884,916,982,1000,952,989,922,1090,985,1200,1210,1120,1260,1300,1350,1360,1430,1479.016888,1542.624332,1614.466979,1693.912738
Malaysia,MYS,62100,72800,77900,86600,91700,97500,114000,130000,122000,134000,146000,154000,161000,175000,187000,210000,208000,219000,225000,216000,241000,226000,225000,244000,251000,263000,259000,260000,261710.6739,263454.2735,265183.0594,265864.7091
Maldives,MDV,173,155,232,199,199,250,291,331,302,423,452,463,595,507,669,603,761,783,845,885,937,988,1110,1090,1340,1260,1310,1370,1482.304212,1555.1894,1628.016821,1700.417868
Mali,MLI,898,929,946,970,991,1010,1010,1060,1520,1550,1580,1690,1810,1890,2050,2180,2380,2630,2880,2240,2760,2980,2830,2930,4000,4000,4290,4510,4897.233961,5277.643192,5683.983974,6111.603642
Malta,MLT,1980,2140,2340,2350,2520,2510,2470,2520,2520,2570,2560,2460,2460,2660,2580,2640,2650,2730,2800,2560,2570,2640,2820,2480,2470,1760,1460,1650,751.5557729,461.7637191,217.020148,17.44920397
Mauritania,MRT,955,894,908,978,1210,1140,1180,1210,1190,1220,1220,1290,1400,1450,1590,1640,1820,2090,2070,2370,2610,2740,2840,2880,2900,3260,3490,3670,3682.956889,3893.886985,4099.867788,4315.059498
Mauritius,MUS,1630,1690,1890,1970,1800,2110,2060,1960,2010,2150,2330,2520,2540,2700,2700,2860,3480,3590,3710,3700,3960,4010,4100,4250,4420,4650,4800,4960,5105.759579,5267.030935,5430.755811,5599.939505
Mexico,MEX,322000,331000,334000,337000,358000,350000,378000,408000,433000,414000,417000,406000,421000,419000,423000,437000,459000,499000,577000,537000,510000,505000,490000,498000,504000,500000,531000,539000,543367.4259,556726.4022,567899.8318,577686.1776
Monaco,MCO,118,118,123,122,123,120,123,122,121,121,119,120,119,116,111,109,102,103,101,97.2,97.4,95.2,97.2,98.1,93.3,96.2,94.9,93.6,93.6,93.6,93.6,93.6
Mongolia,MNG,11000,12600,11000,10200,8900,8730,7130,6950,7050,7020,7340,7350,7890,7800,7930,9630,11300,11700,11600,12000,12600,14000,15500,16600,16100,16900,19100,19700,20273.31391,21290.46674,22248.33315,23210.66211
Montenegro,MNE,2770,2820,2150,1780,1600,1020,2040,2150,2560,2580,2720,2340,2840,2730,2730,2490,2610,2620,3170,2110,2790,3020,2880,2550,2450,2600,2690,2720,2782.937707,2809.949729,2822.581708,2851.445674
Morocco,MAR,23000,24400,25400,27500,28800,29700,30600,31600,31900,33200,34100,37700,38200,37400,43100,45000,46600,49200,51600,51300,54500,56000,60700,57300,58000,58400,58600,61300,61257.29826,61781.69928,61547.46395,60738.15332
Mozambique,MOZ,1070,1080,1060,1140,1120,1180,1100,1180,1190,1310,1490,2060,2060,2600,2830,2750,2910,3180,3120,3400,3610,4100,3970,5150,9600,10100,10100,10700,9600.928979,8780.22206,10185.7781,10618.81607
Myanmar,MMR,4700,4610,5320,5790,6740,7440,7720,8010,8600,9500,10700,9070,9590,10300,12700,11900,13100,13100,10000,10500,12800,14600,11400,13000,21800,22500,26200,26900,27352.389,27630.89086,30524.76653,33342.83539
Namibia,NAM,868,948,1030,1240,1400,1450,1540,1590,1730,1860,1900,2080,2130,2500,2690,2860,3000,3120,2970,3060,3150,3160,3440,3310,3670,3920,4010,4240,4339.952102,4506.763779,4666.841951,4823.233663
Nepal,NPL,741,1080,1460,1580,1830,2170,2630,2940,2420,3350,3190,3390,2750,2960,2750,3140,2620,2670,3480,4280,4990,5370,5610,6370,7750,7630,8630,8870,9967.130023,11109.72361,12172.6999,13195.17235
Netherlands,NLD,163000,172000,171000,171000,172000,174000,183000,176000,177000,172000,173000,178000,177000,180000,182000,178000,173000,173000,176000,171000,183000,170000,167000,167000,160000,167000,167000,165000,168639.4325,167585.9034,166477.592,165318.6772
Netherlands Antilles,ANT,5480,4410,3640,5600,5370,5310,4970,5200,371,2210,5710,5810,5600,5610,5880,5830,6080,6830,6570,6720,4660,5920,7110,6360,7040,7190,7400,7360,7360,7360,7360,7360
New Caledonia,NCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,NZL,25700,26400,28400,28100,28300,28400,29700,31700,30300,31900,32700,34900,35000,36700,36300,38000,37900,37000,38000,35200,35400,34700,36400,35700,36000,36200,34700,36400,35317.06227,33861.91635,33001.44534,32327.15045
Nicaragua,NIC,2110,2050,2440,2340,2560,2820,2920,3180,3450,3660,3780,3970,4040,4410,4440,4320,4500,4650,4460,4520,4580,4870,4650,4580,4880,5700,5940,5900,5638.101784,5456.231805,5431.707829,5431.659441
Niger,NER,620,743,856,1090,1230,1460,1810,2010,2340,2520,1940,1780,1840,1960,2040,1750,1660,1680,1840,2200,2680,2990,4220,4410,4850,3870,4150,4360,5445.730209,6015.263655,6602.796371,7170.704322
